site.year	cleaner_ID	score_visitor	visPref
CB_2010	CL01	9	FALSE
CB_2010	CL02	17	TRUE
CB_2010	CL03	3	FALSE
CB_2010	CL04	16	TRUE
CB_2010	CL05	11	FALSE
CB_2010	CL06	8	FALSE
CB_2010	CL07	13	FALSE
CB_2010	CL08	6	FALSE
CB_2010	CL09	14	FALSE
CB_2010	CL10	14	FALSE
CB_2017	CL01	13	FALSE
CB_2017	CL02	10	FALSE
CB_2017	CL03	4	FALSE
CB_2017	CL04	15	TRUE
CB_2017	CL05	10	FALSE
CB_2017	CL06	9	FALSE
CB_2017	CL07	10	FALSE
CB_2017	CL08	6	FALSE
CB_2017	CL09	12	FALSE
CB_2017	CL10	1	FALSE
CB_2018	CL11	18	TRUE
CB_2018	CL12	14	FALSE
CB_2018	CL13	12	FALSE
CB_2018	CL14	15	TRUE
CB_2018	CL15	9	FALSE
CB_2018	CL16	10	FALSE
CB_2018	CL17	12	FALSE
CB_2018	CL18	4	FALSE
CB_2018	CL19	15	TRUE
CB_2018	CL20	12	FALSE
HS_2017	CL21	13	FALSE
HS_2017	CL22	10	FALSE
HS_2017	CL23	10	FALSE
HS_2017	CL24	6	FALSE
HS_2017	CL25	19	TRUE
HS_2017	CL26	14	FALSE
HS_2017	CL27	16	TRUE
HS_2017	CL28	17	TRUE
HS_2017	CL29	15	TRUE
HS_2017	CL30	10	FALSE
MC_2010	CL04	18	TRUE
MC_2010	CL03	18	TRUE
MC_2010	CL01	18	TRUE
MC_2010	CL07	18	TRUE
MC_2010	CL08	17	TRUE
MC_2010	CL09	10	FALSE
MC_2010	CL05	17	TRUE
MC_2010	CL02	18	TRUE
MC_2010	CL06	18	TRUE
MC_2010	CL10	8	FALSE
MC_2016	CL01	14	FALSE
MC_2016	CL02	9	FALSE
MC_2016	CL03	15	TRUE
MC_2016	CL04	8	FALSE
MC_2016	CL05	15	TRUE
MC_2016	CL06	8	FALSE
MC_2016	CL07	6	FALSE
MC_2016	CL08	5	FALSE
MC_2016	CL09	10	FALSE
MC_2016	CL10	11	FALSE
MC_2017	CL31	16	TRUE
MC_2017	CL32	10	FALSE
MC_2017	CL33	10	FALSE
MC_2017	CL34	10	FALSE
MC_2017	CL35	12	FALSE
MC_2017	CL36	11	FALSE
MC_2017	CL37	13	FALSE
MC_2017	CL38	10	FALSE
MC_2017	CL39	6	FALSE
MC_2017	CL40	13	FALSE
MC_2018	CL21	11	FALSE
MC_2018	CL22	10	FALSE
MC_2018	CL23	9	FALSE
MC_2018	CL24	18	TRUE
MC_2018	CL25	14	FALSE
MC_2018	CL26	4	FALSE
MC_2018	CL27	18	TRUE
MC_2018	CL28	15	TRUE
MC_2018	CL29	10	FALSE
MC_2018	CL30	10	FALSE
NHS_2016	CL21	16	TRUE
NHS_2016	CL12	15	TRUE
NHS_2016	CL13	13	FALSE
NHS_2016	CL14	14	FALSE
NHS_2016	CL15	13	FALSE
NHS_2016	CL23	18	TRUE
NHS_2016	CL17	14	FALSE
NHS_2016	CL18	13	FALSE
NHS_2016	CL19	18	TRUE
NHS_2016	CL20	11	FALSE
NHS_2017	CL11	18	TRUE
NHS_2017	CL12	19	TRUE
NHS_2017	CL13	2	FALSE
NHS_2017	CL14	16	TRUE
NHS_2017	CL15	15	TRUE
NHS_2017	CL16	11	FALSE
NHS_2017	CL17	18	TRUE
NHS_2017	CL18	19	TRUE
NHS_2017	CL19	19	TRUE
NHS_2017	CL20	18	TRUE
NHS_2018	CL01	13	FALSE
NHS_2018	CL02	14	FALSE
NHS_2018	CL03	18	TRUE
NHS_2018	CL04	7	FALSE
NHS_2018	CL05	9	FALSE
NHS_2018	CL06	13	FALSE
NHS_2018	CL07	15	TRUE
NHS_2018	CL08	7	FALSE
NHS_2018	CL09	13	FALSE
NHS_2018	CL10	12	FALSE
TC_2018	CL31	11	FALSE
TC_2018	CL32	10	FALSE
TC_2018	CL33	12	FALSE
TC_2018	CL34	8	FALSE
TC_2018	CL35	4	FALSE
TC_2018	CL36	18	TRUE
TC_2018	CL37	2	FALSE
TC_2018	CL38	16	TRUE
TC_2018	CL39	0	FALSE
TC_2018	CL40	13	FALSE
