site.year	cleaner_ID	score_visitor	abund.cleaners	abund.visitors	abund.residents	prob.Vis.Leav
CB_2010	CL01	9	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL02	17	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL03	3	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL04	16	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL05	11	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL06	8	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL07	13	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL08	6	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL09	14	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2010	CL10	14	0.533333333	10.86666667	125.6666667	0.04255362638
CB_2017	CL01	13	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL02	10	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL03	4	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL04	15	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL05	10	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL06	9	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL07	10	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL08	6	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL09	12	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2017	CL10	1	0.333333334	9.533333334	57.33333334	0.2021344875
CB_2018	CL11	18	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL12	14	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL13	12	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL14	15	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL15	9	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL16	10	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL17	12	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL18	4	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL19	15	0.133333333	8.333333333	106	0.06469668538
CB_2018	CL20	12	0.133333333	8.333333333	106	0.06469668538
HS_2017	CL21	13	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL22	10	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL23	10	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL24	6	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL25	19	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL26	14	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL27	16	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL28	17	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL29	15	2.066666667	33.13333333	83	0.1755231251
HS_2017	CL30	10	2.066666667	33.13333333	83	0.1755231251
MC_2010	CL04	18	2.333333333	66.4	135	0.2126077771
MC_2010	CL03	18	2.333333333	66.4	135	0.2126077771
MC_2010	CL01	18	2.333333333	66.4	135	0.2126077771
MC_2010	CL07	18	2.333333333	66.4	135	0.2126077771
MC_2010	CL08	17	2.333333333	66.4	135	0.2126077771
MC_2010	CL09	10	2.333333333	66.4	135	0.2126077771
MC_2010	CL05	17	2.333333333	66.4	135	0.2126077771
MC_2010	CL02	18	2.333333333	66.4	135	0.2126077771
MC_2010	CL06	18	2.333333333	66.4	135	0.2126077771
MC_2010	CL10	8	2.333333333	66.4	135	0.2126077771
MC_2016	CL01	14	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL02	12	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL03	15	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL04	8	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL05	15	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL06	8	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL07	6	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL08	5	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL09	10	0.466666667	24.2	24.46666667	0.04088754947
MC_2016	CL10	11	0.466666667	24.2	24.46666667	0.04088754947
MC_2017	CL31	16	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL32	10	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL33	10	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL34	10	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL35	12	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL36	11	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL37	13	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL38	10	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL39	6	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2017	CL40	13	0.666666667	19.06666667	19.66666667	0.09422209917
MC_2018	CL21	11	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL22	10	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL23	9	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL24	18	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL25	14	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL26	4	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL27	18	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL28	15	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL29	10	0.866666667	16.86666667	30.66666667	0.06739899363
MC_2018	CL30	10	0.866666667	16.86666667	30.66666667	0.06739899363
NHS_2016	CL21	16	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL12	15	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL13	15	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL14	14	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL15	13	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL23	18	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL17	14	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL18	13	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL19	18	0.466666667	21	112.2666667	0.04298967966
NHS_2016	CL20	11	0.466666667	21	112.2666667	0.04298967966
NHS_2017	CL11	18	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL12	19	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL13	2	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL14	16	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL15	15	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL16	11	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL17	18	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL18	19	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL19	19	1.4	21.13333333	76.33333334	0.3519282894
NHS_2017	CL20	18	1.4	21.13333333	76.33333334	0.3519282894
NHS_2018	CL01	13	1.2	25.6	126.6666667	0.06152105338
NHS_2018	CL02	14	1.2	25.6	126.6666667	0.06152105338
NHS_2018	CL03	18	1.2	25.6	126.6666667	0.06152105338
NHS_2018	CL04	7	1.2	25.6	126.6666667	0.06152105338
NHS_2018	CL05	9	1.2	25.6	126.6666667	0.06152105338
NHS_2018	CL06	13	1.2	25.6	126.6666667	0.06152105338
NHS_2018	CL07	15	1.2	25.6	126.6666667	0.06152105338
