site,year,site_year,ID,market_both_score,market_binomial,abundance_clients_100m2,abundance_large_100m2,abundance_small_100m2,abundance_cleaners_100m2,cleaner_small_ratio,cleaner_large_ratio,cleaner_client_ratio,opportunities_total,swim_off,percentage_swim_off
CB,2010,CB 2010,CL01,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL02,120,1,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL03,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL04,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL05,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL06,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL07,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL08,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL09,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2010,CB 2010,CL10,> 200,0,136.5333334,10.86666667,125.6666667,0.533333333,0.424403183,5.343165606,0.390625,2.799071457,0.119110641,4.255362638
CB,2017,CB 2017,CL01,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL02,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL03,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL04,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL05,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL06,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL07,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL08,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL09,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2017,CB 2017,CL10,> 200,0,66.86666667,9.533333334,57.33333334,0.333333334,0.58139535,3.5362762,0.498504487,16.69819481,3.37528105,20.21344875
CB,2018,CB 2018,CL 11,150,1,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 12,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 13,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 14,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 15,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 16,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 17,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 18,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 19,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
CB,2018,CB 2018,CL 20,> 200,0,114.3333333,8.333333333,106,0.133333333,0.125786163,1.476190476,0.116618076,50.11319445,2.282430555,6.469668538
HS,2017,HS 2017,CL21,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL22,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL23,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL24,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL25,80,1,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL26,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL27,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL28,130,1,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL29,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
HS,2017,HS 2017,CL30,> 200,0,116.1333333,33.13333333,83,2.066666667,2.48995984,6.2466227,1.77956372,35.96154491,6.312082745,17.55231251
MC,2010,MC 2010,CL01,80,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL02,100,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL03,110,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL04,140,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL05,140,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
MC,2010,MC 2010,CL06,140,1,201.4,66.4,135,2.333333333,1.728395061,3.736624228,1.158556769,11.0750144,2.354634193,21.26077771
